round	timestamp	seeds_tried	extensions_found	kept_above_threshold	total_deep_chains	elapsed_s
142	2026-03-30T13:09:40.282178	20	100	90	100	0.1
143	2026-03-30T13:09:40.363440	20	100	59	100	0.1
144	2026-03-30T13:09:40.444627	20	178	163	100	0.1
145	2026-03-30T13:09:40.481309	20	206	20	100	0.0
146	2026-03-30T13:09:40.540322	20	172	80	100	0.0
147	2026-03-30T13:09:40.741995	20	359	277	100	0.2
148	2026-03-30T13:09:40.756351	20	31	21	100	0.0
149	2026-03-30T13:09:40.789481	20	140	111	100	0.0
150	2026-03-30T13:09:40.874155	20	124	99	100	0.1
151	2026-03-30T13:09:40.915164	20	57	32	100	0.0
152	2026-03-30T13:09:40.954654	20	104	30	100	0.0
153	2026-03-30T13:09:41.033732	20	88	51	100	0.1
154	2026-03-30T13:09:41.115131	20	43	25	100	0.1
155	2026-03-30T13:09:41.203252	20	181	153	100	0.1
156	2026-03-30T13:09:41.228755	20	43	16	100	0.0
157	2026-03-30T13:09:41.252228	20	54	30	100	0.0
158	2026-03-30T13:09:41.303216	20	110	96	100	0.0
159	2026-03-30T13:09:41.508881	20	198	168	100	0.2
160	2026-03-30T13:09:41.610464	20	173	156	100	0.1
161	2026-03-30T13:09:41.782626	20	96	83	100	0.2
162	2026-03-30T13:09:41.818869	20	123	104	100	0.0
163	2026-03-30T13:09:41.956405	20	220	127	100	0.1
164	2026-03-30T13:09:42.062714	20	102	80	100	0.1
165	2026-03-30T13:09:42.104109	20	58	37	100	0.0
166	2026-03-30T13:09:42.159418	20	113	103	100	0.0
167	2026-03-30T13:09:42.411437	20	177	156	100	0.2
168	2026-03-30T13:09:42.574281	20	173	146	100	0.1
169	2026-03-30T13:09:42.720417	20	252	170	100	0.1
170	2026-03-30T13:09:42.877558	20	166	82	100	0.1
171	2026-03-30T13:09:42.956416	20	87	84	100	0.1
172	2026-03-30T13:09:43.095369	20	115	85	100	0.1
173	2026-03-30T13:09:43.215482	20	149	112	100	0.1
174	2026-03-30T13:09:43.292382	20	111	32	100	0.1
175	2026-03-30T13:09:43.475945	20	318	176	100	0.2
176	2026-03-30T13:09:43.516280	20	183	101	100	0.0
177	2026-03-30T13:09:43.543549	20	127	12	100	0.0
178	2026-03-30T13:09:43.574851	20	44	33	100	0.0
179	2026-03-30T13:09:43.654239	20	89	77	100	0.1
180	2026-03-30T13:09:43.720247	20	229	71	100	0.0
181	2026-03-30T13:09:43.774405	20	111	85	100	0.0
182	2026-03-30T13:09:43.821769	20	159	81	100	0.0
183	2026-03-30T13:09:43.915162	20	78	64	100	0.1
184	2026-03-30T13:09:43.983478	20	132	106	100	0.1
185	2026-03-30T13:09:44.057766	20	74	55	100	0.0
186	2026-03-30T13:09:44.126215	20	116	71	100	0.1
187	2026-03-30T13:09:44.152797	20	126	21	100	0.0
188	2026-03-30T13:09:44.198573	20	29	22	100	0.0
189	2026-03-30T13:09:44.450516	20	194	139	100	0.2
190	2026-03-30T13:09:44.514941	20	229	126	100	0.0
191	2026-03-30T13:09:44.558382	20	47	32	100	0.0
192	2026-03-30T13:09:44.568799	20	101	0	100	0.0
193	2026-03-30T13:09:44.663544	20	137	106	100	0.1
194	2026-03-30T13:09:44.933902	20	218	134	100	0.2
195	2026-03-30T13:09:45.038457	20	123	80	100	0.1
196	2026-03-30T13:09:45.207295	20	178	157	100	0.1
197	2026-03-30T13:09:45.261748	20	74	58	100	0.0
198	2026-03-30T13:09:45.294634	20	43	32	100	0.0
199	2026-03-30T13:09:45.506527	20	172	157	100	0.2
200	2026-03-30T13:09:45.656334	20	292	267	100	0.1
201	2026-03-30T13:09:45.683379	20	44	32	100	0.0
202	2026-03-30T13:09:45.713743	20	85	63	100	0.0
203	2026-03-30T13:09:45.855370	20	175	146	100	0.1
204	2026-03-30T13:09:45.900791	20	69	67	100	0.0
205	2026-03-30T13:09:46.014547	20	81	73	100	0.1
206	2026-03-30T13:09:46.034239	20	43	32	100	0.0
207	2026-03-30T13:09:46.078675	20	43	27	100	0.0
208	2026-03-30T13:09:46.223286	20	130	128	100	0.1
209	2026-03-30T13:09:46.251644	20	84	58	100	0.0
210	2026-03-30T13:09:46.373733	20	268	227	100	0.1
211	2026-03-30T13:09:46.404075	20	126	19	100	0.0
212	2026-03-30T13:09:46.498607	20	91	80	100	0.1
213	2026-03-30T13:09:46.505705	20	0	0	100	0.0
214	2026-03-30T13:09:46.627571	20	184	140	100	0.1
215	2026-03-30T13:09:46.686654	20	158	122	100	0.0
216	2026-03-30T13:09:46.707562	20	122	31	100	0.0
217	2026-03-30T13:09:46.772669	20	139	56	100	0.1
218	2026-03-30T13:09:46.923491	20	209	178	100	0.1
219	2026-03-30T13:09:47.031617	20	192	141	100	0.1
220	2026-03-30T13:09:47.066805	20	106	83	100	0.0
221	2026-03-30T13:09:47.126032	20	271	169	100	0.0
222	2026-03-30T13:09:47.141770	20	15	8	100	0.0
223	2026-03-30T13:09:47.253958	20	227	190	100	0.1
224	2026-03-30T13:09:47.323409	20	227	73	100	0.1
225	2026-03-30T13:09:47.487698	20	83	75	100	0.1
226	2026-03-30T13:09:47.686818	20	131	112	100	0.2
227	2026-03-30T13:09:47.768158	20	72	55	100	0.1
228	2026-03-30T13:09:47.811625	20	91	74	100	0.0
229	2026-03-30T13:09:47.909757	20	82	72	100	0.1
230	2026-03-30T13:09:47.943622	20	43	21	100	0.0
231	2026-03-30T13:09:48.110039	20	191	154	100	0.2
232	2026-03-30T13:09:48.130692	20	44	26	100	0.0
233	2026-03-30T13:09:48.149692	20	106	68	100	0.0
234	2026-03-30T13:09:48.205718	20	153	55	100	0.0
235	2026-03-30T13:09:48.329698	20	164	150	100	0.1
236	2026-03-30T13:09:48.385852	20	108	28	100	0.0
237	2026-03-30T13:09:48.556878	20	305	285	100	0.2
238	2026-03-30T13:09:48.685596	20	175	132	100	0.1
239	2026-03-30T13:09:48.712580	20	43	28	100	0.0
240	2026-03-30T13:09:48.913137	20	72	33	100	0.1
241	2026-03-30T13:09:48.932178	20	59	41	100	0.0
242	2026-03-30T13:09:49.013485	20	326	284	100	0.1
243	2026-03-30T13:09:49.028105	20	15	11	100	0.0
244	2026-03-30T13:09:49.041977	20	42	8	100	0.0
245	2026-03-30T13:09:49.079493	20	59	20	100	0.0
246	2026-03-30T13:09:49.347586	20	226	203	100	0.2
247	2026-03-30T13:09:49.415010	20	58	43	100	0.1
248	2026-03-30T13:09:49.517407	20	148	131	100	0.1
249	2026-03-30T13:09:49.532209	20	29	9	100	0.0
250	2026-03-30T13:09:49.538816	20	0	0	100	0.0
251	2026-03-30T13:09:49.577435	20	107	91	100	0.0
252	2026-03-30T13:09:49.612619	20	71	26	100	0.0
253	2026-03-30T13:09:49.710482	20	133	94	100	0.1
254	2026-03-30T13:09:49.757272	20	119	32	100	0.0
255	2026-03-30T13:09:49.873759	20	123	90	100	0.1
256	2026-03-30T13:09:49.920963	20	30	22	100	0.0
257	2026-03-30T13:09:50.017844	20	122	94	100	0.1
258	2026-03-30T13:09:50.081609	20	112	41	100	0.0
259	2026-03-30T13:09:50.173327	20	74	53	100	0.1
260	2026-03-30T13:09:50.229462	20	29	19	100	0.0
261	2026-03-30T13:09:50.296016	20	42	26	100	0.0
262	2026-03-30T13:09:50.465866	20	244	164	100	0.1
263	2026-03-30T13:09:50.536136	20	71	37	100	0.0
264	2026-03-30T13:09:50.575844	20	74	32	100	0.0
265	2026-03-30T13:09:50.723315	20	177	96	100	0.1
266	2026-03-30T13:09:50.764542	20	42	21	100	0.0
267	2026-03-30T13:09:50.830115	20	119	93	100	0.1
268	2026-03-30T13:09:50.854342	20	108	82	100	0.0
269	2026-03-30T13:09:50.872716	20	30	19	100	0.0
270	2026-03-30T13:09:50.890785	20	70	49	100	0.0
271	2026-03-30T13:09:50.938437	20	142	103	100	0.0
272	2026-03-30T13:09:51.099800	20	95	79	100	0.1
273	2026-03-30T13:09:51.211762	20	101	89	100	0.1
274	2026-03-30T13:09:51.247289	20	29	21	100	0.0
275	2026-03-30T13:09:51.335505	20	172	142	100	0.1
276	2026-03-30T13:09:51.404399	20	140	64	100	0.1
277	2026-03-30T13:09:51.460426	20	62	61	100	0.0
278	2026-03-30T13:09:51.543862	20	139	110	100	0.1
279	2026-03-30T13:09:51.574688	20	58	41	100	0.0
280	2026-03-30T13:09:51.679010	20	287	229	100	0.1
281	2026-03-30T13:09:51.759559	20	184	141	100	0.1
282	2026-03-30T13:09:51.787515	20	30	19	100	0.0
283	2026-03-30T13:09:51.813771	20	66	11	100	0.0
284	2026-03-30T13:09:51.930914	20	203	193	100	0.1
285	2026-03-30T13:09:51.987280	20	182	114	100	0.0
286	2026-03-30T13:09:52.175457	20	166	138	100	0.2
287	2026-03-30T13:09:52.257667	20	136	103	100	0.1
288	2026-03-30T13:09:52.290031	20	111	82	100	0.0
289	2026-03-30T13:09:52.399999	20	173	151	100	0.1
290	2026-03-30T13:09:52.436221	20	27	19	100	0.0
291	2026-03-30T13:09:52.498614	20	108	65	100	0.0
292	2026-03-30T13:09:52.749276	20	238	197	100	0.2
293	2026-03-30T13:09:52.826692	20	125	95	100	0.1
294	2026-03-30T13:09:52.866635	20	58	33	100	0.0
295	2026-03-30T13:09:52.892811	20	73	10	100	0.0
296	2026-03-30T13:09:52.940530	20	200	113	100	0.0
297	2026-03-30T13:09:52.983517	20	29	16	100	0.0
298	2026-03-30T13:09:53.149809	20	101	82	100	0.1
299	2026-03-30T13:09:53.217497	20	133	46	100	0.0
300	2026-03-30T13:09:53.307991	20	73	54	100	0.1
301	2026-03-30T13:09:53.370674	20	42	31	100	0.0
302	2026-03-30T13:09:53.547372	20	171	145	100	0.1
