verseId,root,count,positions,forms
2:25,عمل,1,[4],"[""عَمِلُ""]"
2:25,صلح,1,[5],"[""صَّٰلِحَٰتِ""]"
2:25,جنن,1,[8],"[""جَنَّٰتٍ""]"
2:25,جري,1,[9],"[""تَجْرِى""]"
2:25,تحت,1,[11],"[""تَحْتِ""]"
2:25,نهر,1,[12],"[""أَنْهَٰرُ""]"
2:25,كلل,1,[13],"[""كُلَّمَا""]"
2:25,رزق,3,"[14, 18, 22]","[""رُزِقُ"", ""رُزِقْ"", ""رِّزْقًا""]"
2:25,ثمر,1,[17],"[""ثَمَرَةٍ""]"
2:25,قبل,1,[24],"[""قَبْلُ""]"
2:25,أتي,1,[25],"[""أُتُ""]"
2:25,شبه,1,[27],"[""مُتَشَٰبِهًا""]"
2:25,زوج,1,[30],"[""أَزْوَٰجٌ""]"
2:25,طهر,1,[31],"[""مُّطَهَّرَةٌ""]"
2:25,خلد,1,[34],"[""خَٰلِدُونَ""]"
2:26,حيي,1,[4],"[""يَسْتَحْىِۦٓ""]"
2:26,ضرب,1,[6],"[""يَضْرِبَ""]"
2:26,مثل,2,"[7, 28]","[""مَثَلًا""]"
2:26,بعض,1,[9],"[""بَعُوضَةً""]"
2:26,فوق,1,[11],"[""فَوْقَ""]"
2:26,حقق,1,[17],"[""حَقُّ""]"
2:26,كفر,1,[22],"[""كَفَرُ""]"
2:26,رود,1,[25],"[""أَرَادَ""]"
2:26,ضلل,2,"[29, 36]","[""يُضِلُّ""]"
2:26,كثر,2,"[31, 34]","[""كَثِيرًا""]"
2:26,هدي,1,[32],"[""يَهْدِى""]"
2:26,فسق,1,[39],"[""فَٰسِقِينَ""]"
2:27,نقض,1,[2],"[""يَنقُضُ""]"
2:27,عهد,1,[3],"[""عَهْدَ""]"
2:27,بعد,1,[6],"[""بَعْدِ""]"
2:27,وثق,1,[7],"[""مِيثَٰقِ""]"
2:27,قطع,1,[8],"[""يَقْطَعُ""]"
2:27,أمر,1,[10],"[""أَمَرَ""]"
2:27,وصل,1,[14],"[""يُوصَلَ""]"
2:27,فسد,1,[15],"[""يُفْسِدُ""]"
2:27,أرض,1,[17],"[""أَرْضِ""]"
2:27,خسر,1,[20],"[""خَٰسِرُونَ""]"
2:28,كيف,1,[1],"[""كَيْفَ""]"
2:28,كفر,1,[2],"[""تَكْفُرُ""]"
2:28,موت,2,"[5, 8]","[""أَمْوَٰتًا"", ""يُمِيتُ""]"
2:28,حيي,2,"[6, 10]","[""أَحْيَٰ"", ""يُحْيِي""]"
2:28,رجع,1,[13],"[""تُرْجَعُ""]"
2:29,خلق,1,[3],"[""خَلَقَ""]"
2:29,أرض,1,[7],"[""أَرْضِ""]"
2:29,جمع,1,[8],"[""جَمِيعًا""]"
2:29,سوي,2,"[10, 13]","[""سَوَّىٰ"", ""ٱسْتَوَىٰٓ""]"
2:29,سمو,2,"[12, 15]","[""سَمَٰوَٰتٍ"", ""سَّمَآءِ""]"
2:29,سبع,1,[14],"[""سَبْعَ""]"
2:29,كلل,1,[17],"[""كُلِّ""]"
2:29,شيأ,1,[18],"[""شَىْءٍ""]"
2:30,ملك,1,[4],"[""مَلَٰٓئِكَةِ""]"
2:30,جعل,2,"[6, 11]","[""تَجْعَلُ"", ""جَاعِلٌ""]"
2:30,أرض,1,[8],"[""أَرْضِ""]"
2:30,خلف,1,[9],"[""خَلِيفَةً""]"
2:30,فسد,1,[14],"[""يُفْسِدُ""]"
2:30,سفك,1,[16],"[""يَسْفِكُ""]"
2:30,دمو,1,[17],"[""دِّمَآءَ""]"
2:30,سبح,1,[19],"[""نُسَبِّحُ""]"
2:30,حمد,1,[20],"[""حَمْدِ""]"
2:30,قدس,1,[21],"[""نُقَدِّسُ""]"
2:31,أدم,1,[2],"[""ءَادَمَ""]"
2:31,سمو,2,"[3, 11]","[""أَسْمَآءَ"", ""أَسْمَآءِ""]"
2:31,كلل,1,[4],"[""كُلَّ""]"
2:31,عرض,1,[6],"[""عَرَضَ""]"
2:31,ملك,1,[8],"[""مَلَٰٓئِكَةِ""]"
2:31,نبأ,1,[10],"[""أَنۢبِـُٔ""]"
2:31,صدق,1,[15],"[""صَٰدِقِينَ""]"
2:32,سبح,1,[2],"[""سُبْحَٰنَ""]"
2:32,حكم,1,[12],"[""حَكِيمُ""]"
2:33,أدم,1,[2],"[""ـَٔادَمُ""]"
2:33,نبأ,2,"[3, 6]","[""أَنۢبَأَ"", ""أَنۢبِئْ""]"
2:33,سمو,3,"[4, 7, 15]","[""أَسْمَآئِ"", ""سَّمَٰوَٰتِ""]"
2:33,غيب,1,[14],"[""غَيْبَ""]"
2:33,أرض,1,[16],"[""أَرْضِ""]"
2:33,بدو,1,[19],"[""تُبْدُ""]"
2:33,كتم,1,[22],"[""تَكْتُمُ""]"
2:34,ملك,1,[3],"[""مَلَٰٓئِكَةِ""]"
2:34,سجد,2,"[4, 6]","[""سَجَدُ"", ""ٱسْجُدُ""]"
2:34,أدم,1,[5],"[""ءَادَمَ""]"
2:34,أبي,1,[9],"[""أَبَىٰ""]"
2:34,كبر,1,[10],"[""ٱسْتَكْبَرَ""]"
2:34,كفر,1,[13],"[""كَٰفِرِينَ""]"
2:35,أدم,1,[2],"[""ـَٔادَمُ""]"
2:35,سكن,1,[3],"[""ٱسْكُنْ""]"
2:35,زوج,1,[5],"[""زَوْجُ""]"
2:35,جنن,1,[6],"[""جَنَّةَ""]"
2:35,أكل,1,[7],"[""كُلَ""]"
2:35,رغد,1,[9],"[""رَغَدًا""]"
2:35,حيث,1,[10],"[""حَيْثُ""]"
2:35,شيأ,1,[11],"[""شِئْ""]"
2:35,قرب,1,[13],"[""تَقْرَبَ""]"
2:35,شجر,1,[15],"[""شَّجَرَةَ""]"
2:35,ظلم,1,[18],"[""ظَّٰلِمِينَ""]"
2:36,زلل,1,[1],"[""أَزَلَّ""]"
2:36,شطن,1,[2],"[""شَّيْطَٰنُ""]"
2:36,خرج,1,[4],"[""أَخْرَجَ""]"
2:36,هبط,1,[9],"[""ٱهْبِطُ""]"
2:36,بعض,2,"[10, 11]","[""بَعْضٍ"", ""بَعْضُ""]"
2:36,عدو,1,[12],"[""عَدُوٌّ""]"
2:36,أرض,1,[15],"[""أَرْضِ""]"
